Info,Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
,Capito auratus,Gilded Barbet,,Ramphastidae,Capito auratus,Gilded Barbet,,Capitonidae,
,Capito brunneipectus,Brown-chested Barbet,,Ramphastidae,Capito brunneipectus,Brown-chested Barbet,,Capitonidae,
,Capito wallacei,Scarlet-banded Barbet,,Ramphastidae,,,,,
,,,,,Capito wallacei,Scarlet-banded Barbet,,Capitonidae,
,,,,,Capito fitzpatricki,Sira Barbet,,Capitonidae,
,Eubucco richardsoni,Lemon-throated Barbet,,Ramphastidae,,,,,
,,,,,Eubucco richardsoni,Lemon-throated Barbet,,Capitonidae,
,,,,,Eubucco aurantiicollis,Flame-throated Barbet,,Capitonidae,
,Eubucco bourcierii,Red-headed Barbet,,Ramphastidae,Eubucco bourcierii,Red-headed Barbet,,Capitonidae,
,Eubucco tucinkae,Scarlet-hooded Barbet,,Ramphastidae,Eubucco tucinkae,Scarlet-hooded Barbet,,Capitonidae,
,Eubucco versicolor,Versicoloured Barbet,,Ramphastidae,,,,,
,,,,,Eubucco versicolor,Blue-moustached Barbet,,Capitonidae,
,,,,,Eubucco steerii,Blue-cowled Barbet,,Capitonidae,
,,,,,Eubucco glaucogularis,Blue-chinned Barbet,,Capitonidae,
,Semnornis frantzii,Prong-billed Barbet,,Ramphastidae,Semnornis frantzii,Prong-billed Barbet,,Semnornithidae,
,Semnornis ramphastinus,Toucan Barbet,,Ramphastidae,Semnornis ramphastinus,Toucan Barbet,,Semnornithidae,
,Aulacorhynchus prasinus,Emerald Toucanet,,Ramphastidae,,,,,
,,,,,Aulacorhynchus prasinus,Emerald Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus caeruleogularis,Blue-throated Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus wagleri,Wagler's Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus albivitta,Greyish-throated Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus atrogularis,Black-throated Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus cyanolaemus,Black-billed Toucanet,,Ramphastidae,
,Aulacorhynchus sulcatus,Groove-billed Toucanet,,Ramphastidae,,,,,
,,,,,Aulacorhynchus sulcatus,Groove-billed Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus calorhynchus,Yellow-billed Toucanet,,Ramphastidae,
,Aulacorhynchus derbianus,Chestnut-tipped Toucanet,,Ramphastidae,,,,,
,,,,,Aulacorhynchus derbianus,Chestnut-tipped Toucanet,,Ramphastidae,
,,,,,Aulacorhynchus whitelianus,Tepui Toucanet,,Ramphastidae,
,Pteroglossus inscriptus,Lettered Aracari,,Ramphastidae,,,,,
,,,,,Pteroglossus inscriptus,Lettered Araçari,,Ramphastidae,
,,,,,Pteroglossus humboldti,Humboldt's Araçari,,Ramphastidae,
,Pteroglossus viridis,Green Aracari,,Ramphastidae,Pteroglossus viridis,Green Araçari,,Ramphastidae,
,Pteroglossus bitorquatus,Red-necked Aracari,,Ramphastidae,,,,,
,,,,,Pteroglossus bitorquatus,Eastern Red-necked Araçari,,Ramphastidae,
,,,,,Pteroglossus sturmii,Western Red-necked Araçari,,Ramphastidae,
,Pteroglossus azara,Ivory-billed Aracari,,Ramphastidae,Pteroglossus azara,Ivory-billed Araçari,,Ramphastidae,
,Pteroglossus castanotis,Chestnut-eared Aracari,,Ramphastidae,Pteroglossus castanotis,Chestnut-eared Araçari,,Ramphastidae,
,Pteroglossus aracari,Black-necked Aracari,,Ramphastidae,Pteroglossus aracari,Black-necked Araçari,,Ramphastidae,
,Pteroglossus torquatus,Collared Aracari,,Ramphastidae,,,,,
,,,,,Pteroglossus torquatus,Collared Araçari,,Ramphastidae,
,Pteroglossus frantzii,Fiery-billed Aracari,,Ramphastidae,Pteroglossus frantzii,Fiery-billed Araçari,,Ramphastidae,
,,,,,Pteroglossus sanguineus,Stripe-billed Araçari,,Ramphastidae,
,,,,,Pteroglossus erythropygius,Pale-billed Araçari,,Ramphastidae,
,Pteroglossus pluricinctus,Many-banded Aracari,,Ramphastidae,Pteroglossus pluricinctus,Many-banded Araçari,,Ramphastidae,
,Pteroglossus beauharnaesii,Curl-crested Aracari,,Ramphastidae,Pteroglossus beauharnaisii,Curl-crested Araçari,,Ramphastidae,
,Selenidera reinwardtii,Golden-collared Toucanet,,Ramphastidae,,,,,
,,,,,Selenidera reinwardtii,Red-billed Toucanet,,Ramphastidae,
,,,,,Selenidera langsdorffii,Green-billed Toucanet,,Ramphastidae,
,,,,,Ramphastos citreolaemus,Citron-throated Toucan,,Ramphastidae,
,,,,,Ramphastos culminatus,Yellow-ridged Toucan,,Ramphastidae,
,Ramphastos vitellinus,Channel-billed Toucan,,Ramphastidae,,,,,
,,,,,Ramphastos vitellinus,Channel-billed Toucan,,Ramphastidae,
,,,,,Ramphastos ariel,Ariel Toucan,,Ramphastidae,
,Ramphastos swainsonii,Chestnut-mandibled Toucan,,Ramphastidae,,,,,
,,,,,Ramphastos ambiguus,Yellow-throated Toucan,,Ramphastidae,
,Ramphastos ambiguus,Black-mandibled Toucan,,Ramphastidae,,,,,
,Ramphastos tucanus,White-throated Toucan,,Ramphastidae,,,,,
,,,,,Ramphastos tucanus,Red-billed Toucan,,Ramphastidae,
,,,,,Ramphastos cuvieri,Cuvier's Toucan,,Ramphastidae,
,Indicator archipelagicus,Malaysian Honeyguide,,Indicatoridae,Indicator archipelagicus,Malay Honeyguide,,Indicatoridae,
,Prodotiscus insignis,Cassin's Honeyguide,,Indicatoridae,Prodotiscus insignis,Cassin's Honeybird,,Indicatoridae,
,Prodotiscus zambesiae,Green-backed Honeyguide,,Indicatoridae,Prodotiscus zambesiae,Green-backed Honeybird,,Indicatoridae,
,Prodotiscus regulus,Wahlberg's Honeyguide,,Indicatoridae,Prodotiscus regulus,Brown-backed Honeybird,,Indicatoridae,
,Picumnus exilis,Golden-spangled Piculet,,Picidae,,,,,
,,,,,Picumnus exilis,Golden-spangled Piculet,,Picidae,
,,,,,Picumnus nigropunctatus,Black-spotted Piculet,,Picidae,
,,,,,Picumnus squamulatus,Scaled Piculet,,Picidae,
,Picumnus squamulatus,Scaled Piculet,,Picidae,,,,,
,Picumnus minutissimus,Guianan Piculet,,Picidae,Picumnus minutissimus,Arrowhead Piculet,,Picidae,
,Sasia africana,African Piculet,,Picidae,Verreauxia africana,African Piculet,,Picidae,
,Campethera bennettii,Bennett's Woodpecker,,Picidae,,,,,
,,,,,Campethera bennettii,Bennett's Woodpecker,,Picidae,
,,,,,Campethera scriptoricauda,Reichenow's Woodpecker,,Picidae,
,,,,,Campethera maculosa,Little Green Woodpecker,,Picidae,
,Campethera maculosa,Little Green Woodpecker,,Picidae,,,,,
,Campethera cailliautii,Green-backed Woodpecker,,Picidae,,,,,
,,,,,Campethera cailliautii,Little Spotted Woodpecker,,Picidae,
,Campethera tullbergi,Tullberg's Woodpecker,,Picidae,,,,,
,,,,,Campethera tullbergi,Tullberg's Woodpecker,,Picidae,
,,,,,Campethera taeniolaema,Fine-banded Woodpecker,,Picidae,
,,,,,Dendropicos lugubris,Melancholy Woodpecker,,Picidae,
,Dendropicos gabonensis,Gabon Woodpecker,,Picidae,,,,,
,,,,,Dendropicos gabonensis,Gabon Woodpecker,,Picidae,
,Thripias namaquus,Bearded Woodpecker,,Picidae,Dendropicos namaquus,Bearded Woodpecker,,Picidae,
,Thripias pyrrhogaster,Fire-bellied Woodpecker,,Picidae,Dendropicos pyrrhogaster,Fire-bellied Woodpecker,,Picidae,
,Thripias xantholophus,Golden-crowned Woodpecker,,Picidae,Dendropicos xantholophus,Yellow-crested Woodpecker,,Picidae,
,Mesopicos elliotii,Elliot's Woodpecker,,Picidae,,,,,
,,,,,Dendropicos elliotii,Elliot's Woodpecker,,Picidae,
,,,,,Dendropicos johnstoni,Johnston's Woodpecker,,Picidae,
,Mesopicos goertae,Grey Woodpecker,,Picidae,,,,,
,,,,,Dendropicos goertae,Grey Woodpecker,,Picidae,
,,,,,Dendropicos spodocephalus,Grey-headed Woodpecker,,Picidae,
,Mesopicos griseocephalus,Olive Woodpecker,,Picidae,Dendropicos griseocephalus,Olive Woodpecker,,Picidae,
,Dendrocopos obsoletus,Brown-backed Woodpecker,,Picidae,Dendropicos obsoletus,Brown-backed Woodpecker,,Picidae,
,Dendrocopos temminckii,Sulawesi Woodpecker,,Picidae,Picoides temminckii,Sulawesi Pygmy Woodpecker,,Picidae,
,Dendrocopos maculatus,Philippine Woodpecker,,Picidae,Picoides maculatus,Philippine Pygmy Woodpecker,,Picidae,
,Dendrocopos ramsayi,Sulu Woodpecker,,Picidae,Picoides ramsayi,Sulu Pygmy Woodpecker,,Picidae,
,Dendrocopos nanus,Brown-capped Woodpecker,,Picidae,Picoides nanus,Indian Pygmy Woodpecker,,Picidae,
,Dendrocopos moluccensis,Sunda Woodpecker,,Picidae,Picoides moluccensis,Sunda Pygmy Woodpecker,,Picidae,
,Dendrocopos canicapillus,Grey-capped Woodpecker,,Picidae,Picoides canicapillus,Grey-capped Woodpecker,,Picidae,
,Dendrocopos kizuki,Pygmy Woodpecker,,Picidae,Picoides kizuki,Japanese Pygmy Woodpecker,,Picidae,
,Dendrocopos minor,Lesser Spotted Woodpecker,,Picidae,Dryobates minor,Lesser Spotted Woodpecker,,Picidae,
,Dendrocopos auriceps,Brown-fronted Woodpecker,,Picidae,Leiopicus auriceps,Brown-fronted Woodpecker,,Picidae,
,Dendrocopos macei,Fulvous-breasted Woodpecker,,Picidae,,,,,
,,,,,Dendrocopos macei,Fulvous-breasted Woodpecker,,Picidae,
,,,,,Dendrocopos analis,Freckle-breasted Woodpecker,,Picidae,
,Dendrocopos mahrattensis,Yellow-crowned Woodpecker,,Picidae,Leiopicus mahrattensis,Yellow-crowned Woodpecker,,Picidae,
,Dendrocopos dorae,Arabian Woodpecker,,Picidae,Dendropicos dorae,Arabian Woodpecker,,Picidae,
,Dendrocopos cathpharius,Crimson-breasted Woodpecker,,Picidae,,,,,
,,,,,Dryobates cathpharius,Scarlet-breasted Woodpecker,,Picidae,
,,,,,Dryobates pernyii,Crimson-breasted Woodpecker,,Picidae,
,Dendrocopos medius,Middle Spotted Woodpecker,,Picidae,Leiopicus medius,Middle Spotted Woodpecker,,Picidae,
,Dendrocopos leucotos,White-backed Woodpecker,,Picidae,,,,,
,,,,,Dendrocopos leucotos,White-backed Woodpecker,,Picidae,
,,,,,Dendrocopos owstoni,Amami Woodpecker,,Picidae,
,Picoides nuttallii,Nuttall's Woodpecker,,Picidae,Dryobates nuttallii,Nuttall's Woodpecker,,Picidae,
,Picoides scalaris,Ladder-backed Woodpecker,,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,,Picidae,
,Picoides pubescens,Downy Woodpecker,,Picidae,Dryobates pubescens,Downy Woodpecker,,Picidae,
,Picoides borealis,Red-cockaded Woodpecker,,Picidae,Leuconotopicus borealis,Red-cockaded Woodpecker,,Picidae,
,Picoides stricklandi,Strickland's Woodpecker,,Picidae,Leuconotopicus stricklandi,Strickland's Woodpecker,,Picidae,
,Picoides arizonae,Arizona Woodpecker,,Picidae,Leuconotopicus arizonae,Arizona Woodpecker,,Picidae,
,Picoides villosus,Hairy Woodpecker,,Picidae,Leuconotopicus villosus,Hairy Woodpecker,,Picidae,
,Picoides albolarvatus,White-headed Woodpecker,,Picidae,Leuconotopicus albolarvatus,White-headed Woodpecker,,Picidae,
,,,,,Picoides tridactylus,Three-toed Woodpecker,,Picidae,
,Picoides tridactylus,Eurasian Three-toed Woodpecker,,Picidae,,,,,
,,,,,Picoides funebris,Dark-bodied Woodpecker,,Picidae,
,Picoides dorsalis,American Three-toed Woodpecker,,Picidae,,,,,
,Picoides fumigatus,Smoky-brown Woodpecker,,Picidae,Leuconotopicus fumigatus,Smoky-brown Woodpecker,,Picidae,
,Veniliornis sanguineus,Blood-coloured Woodpecker,,Picidae,Veniliornis sanguineus,Blood-colored Woodpecker,,Picidae,
,Piculus aurulentus,White-browed Woodpecker,,Picidae,Piculus aurulentus,Yellow-browed Woodpecker,,Picidae,
,Colaptes rubiginosus,Golden-olive Woodpecker,,Picidae,,,,,
,,,,,Colaptes rubiginosus,Golden-olive Woodpecker,,Picidae,
,,,,,Colaptes aeruginosus,Bronze-winged Woodpecker,,Picidae,
,Colaptes rivolii,Crimson-mantled Woodpecker,,Picidae,,,,,
,,,,,Colaptes rivolii,Crimson-mantled Woodpecker,,Picidae,
,,,,,Colaptes atriceps,Black-crowned Woodpecker,,Picidae,
,Colaptes melanochloros,Green-barred Woodpecker,,Picidae,,,,,
,,,,,Colaptes melanochloros,Green-barred Woodpecker,,Picidae,
,,,,,Colaptes melanolaimus,Golden-breasted Woodpecker,,Picidae,
,Colaptes auratus,Northern Flicker,,Picidae,,,,,
,,,,,Colaptes auratus,Yellow-shafted Flicker,,Picidae,
,,,,,Colaptes cafer,Red-shafted Flicker,,Picidae,
,,,,,Colaptes mexicanoides,Guatemalan Flicker,,Picidae,
,Colaptes rupicola,Andean Flicker,,Picidae,,,,,
,,,,,Colaptes rupicola,Southern Andean Flicker,,Picidae,
,,,,,Colaptes cinereicapillus,Northern Andean Flicker,,Picidae,
,Colaptes campestris,Campo Flicker,,Picidae,,,,,
,,,,,Colaptes campestris,Campo Flicker,,Picidae,
,,,,,Colaptes campestroides,Pampas Flicker,,Picidae,
,Celeus brachyurus,Rufous Woodpecker,,Picidae,Micropternus brachyurus,Rufous Woodpecker,,Picidae,
,Celeus grammicus,Scaly-breasted Woodpecker,,Picidae,,,,,
,Celeus castaneus,Chestnut-coloured Woodpecker,,Picidae,Celeus castaneus,Chestnut-colored Woodpecker,,Picidae,
,Celeus flavescens,Blond-crested Woodpecker,,Picidae,,,,,
,,,,,Celeus flavescens,Blond-crested Woodpecker,,Picidae,
,,,,,Celeus ochraceus,Ochre-backed Woodpecker,,Picidae,
,Celeus flavus,Cream-coloured Woodpecker,,Picidae,Celeus flavus,Cream-colored Woodpecker,,Picidae,
,Celeus torquatus,Ringed Woodpecker,,Picidae,,,,,
,,,,,Celeus torquatus,Ringed Woodpecker,,Picidae,
,,,,,Celeus occidentalis,Amazonian Black-breasted Woodpecker,,Picidae,
,,,,,Celeus tinnunculus,Atlantic Black-breasted Woodpecker,,Picidae,
,Dryocopus galeatus,Helmeted Woodpecker,,Picidae,Celeus galeatus,Helmeted Woodpecker,,Picidae,
,Dryocopus pileatus,Pileated Woodpecker,,Picidae,Hylatomus pileatus,Pileated Woodpecker,,Picidae,
,Dryocopus lineatus,Lineated Woodpecker,,Picidae,,,,,
,,,,,Hylatomus lineatus,Lineated Woodpecker,,Picidae,
,,,,,Hylatomus fuscipennis,Dusky-winged Woodpecker,,Picidae,
,Dryocopus schulzi,Black-bodied Woodpecker,,Picidae,Hylatomus schulzii,Black-bodied Woodpecker,,Picidae,
,Campephilus haematogaster,Crimson-bellied Woodpecker,,Picidae,,,,,
,,,,,Campephilus haematogaster,Crimson-bellied Woodpecker,,Picidae,
,,,,,Campephilus splendens,Splendid Woodpecker,,Picidae,
,Picus mineaceus,Banded Woodpecker,,Picidae,Chrysophlegma miniaceum,Banded Woodpecker,,Picidae,
,Picus flavinucha,Greater Yellownape,,Picidae,Chrysophlegma flavinucha,Greater Yellownape,,Picidae,
,Picus mentalis,Checker-throated Woodpecker,,Picidae,,,,,
,,,,,Chrysophlegma mentale,Javan Yellownape,,Picidae,
,,,,,Chrysophlegma humii,Chequer-throated Yellownape,,Picidae,
,Picus viridis,Eurasian Green Woodpecker,,Picidae,,,,,
,,,,,Picus viridis,Eurasian Green Woodpecker,,Picidae,
,,,,,Picus sharpei,Iberian Green Woodpecker,,Picidae,
,Picus vaillantii,Levaillant's Woodpecker,,Picidae,Picus vaillantii,Maghreb Green Woodpecker,,Picidae,
,Picus canus,Grey-faced Woodpecker,,Picidae,,,,,
,,,,,Picus canus,Grey-faced Woodpecker,,Picidae,
,,,,,Picus dedemi,Sumatran Woodpecker,,Picidae,
,,,,,Picus guerini,Black-naped Woodpecker,,Picidae,
,Dinopium javanense,Common Flameback,,Picidae,,,,,
,,,,,Dinopium javanense,Common Flameback,,Picidae,
,,,,,Dinopium everetti,Spot-throated Flameback,,Picidae,
,Dinopium benghalense,Black-rumped Flameback,,Picidae,,,,,
,,,,,Dinopium benghalense,Black-rumped Flameback,,Picidae,
,,,,,Dinopium psarodes,Lesser Sri Lanka Flameback,,Picidae,
,Chrysocolaptes lucidus,Greater Flameback,,Picidae,,,,,
,,,,,Chrysocolaptes lucidus,Buff-spotted Flameback,,Picidae,
,,,,,Chrysocolaptes haematribon,Luzon Flameback,,Picidae,
,,,,,Chrysocolaptes xanthocephalus,Yellow-faced Flameback,,Picidae,
,,,,,Chrysocolaptes erythrocephalus,Red-headed Flameback,,Picidae,
,,,,,Chrysocolaptes strictus,Javan Flameback,,Picidae,
,,,,,Chrysocolaptes guttacristatus,Greater Flameback,,Picidae,
,,,,,Chrysocolaptes stricklandi,Greater Sri Lanka Flameback,,Picidae,
,Reinwardtipicus validus,Orange-backed Woodpecker,,Picidae,Chrysocolaptes validus,Orange-backed Woodpecker,,Picidae,
,Meiglyptes tristis,Buff-rumped Woodpecker,,Picidae,,,,,
,,,,,Meiglyptes tristis,White-rumped Woodpecker,,Picidae,
,,,,,Meiglyptes grammithorax,Buff-rumped Woodpecker,,Picidae,
,Hemicircus concretus,Grey-and-buff Woodpecker,,Picidae,,,,,
,,,,,Hemicircus concretus,Red-crested Woodpecker,,Picidae,
,,,,,Hemicircus sordidus,Grey-and-buff Woodpecker,,Picidae,
,Mulleripicus funebris,Sooty Woodpecker,,Picidae,,,,,
,,,,,Mulleripicus funebris,Northern Sooty Woodpecker,,Picidae,
,,,,,Mulleripicus fuliginosus,Southern Sooty Woodpecker,,Picidae,
,Xenicus longipes,Bush Wren,,Acanthisittidae,Xenicus longipes,Bushwren,,Acanthisittidae,
,Xenicus gilviventris,South Island Wren,,Acanthisittidae,Xenicus gilviventris,New Zealand Rockwren,,Acanthisittidae,
,Traversia lyalli,Stephens Island Wren,,Acanthisittidae,Traversia lyalli,Stephens Island Rockwren,,Acanthisittidae,
,Pitta phayrei,Eared Pitta,,Pittidae,Hydrornis phayrei,Eared Pitta,,Pittidae,
,Pitta nipalensis,Blue-naped Pitta,,Pittidae,Hydrornis nipalensis,Blue-naped Pitta,,Pittidae,
,Pitta soror,Blue-rumped Pitta,,Pittidae,Hydrornis soror,Blue-rumped Pitta,,Pittidae,
,Pitta oatesi,Rusty-naped Pitta,,Pittidae,Hydrornis oatesi,Rusty-naped Pitta,,Pittidae,
,Pitta schneideri,Schneider's Pitta,,Pittidae,Hydrornis schneideri,Schneider's Pitta,,Pittidae,
,Pitta caerulea,Giant Pitta,,Pittidae,Hydrornis caeruleus,Giant Pitta,,Pittidae,
,Pitta cyanea,Blue Pitta,,Pittidae,Hydrornis cyaneus,Blue Pitta,,Pittidae,
,Pitta guajana,Banded Pitta,,Pittidae,,,,,
,,,,,Hydrornis guajanus,Javan Banded Pitta,,Pittidae,
,,,,,Hydrornis irena,Malay Banded Pitta,,Pittidae,
,,,,,Hydrornis schwaneri,Bornean Banded Pitta,,Pittidae,
,Pitta elliotii,Bar-bellied Pitta,,Pittidae,Hydrornis elliotii,Bar-bellied Pitta,,Pittidae,
,Pitta gurneyi,Gurney's Pitta,,Pittidae,Hydrornis gurneyi,Gurney's Pitta,,Pittidae,
,Pitta baudii,Blue-headed Pitta,,Pittidae,Hydrornis baudii,Blue-headed Pitta,,Pittidae,
,Pitta sordida,Hooded Pitta,,Pittidae,,,,,
,,,,,Pitta sordida,Western Hooded Pitta,,Pittidae,
,,,,,Pitta rosenbergii,Biak Hooded Pitta,,Pittidae,
,,,,,Pitta novaeguineae,Eastern Hooded Pitta,,Pittidae,
,Pitta maxima,Ivory-breasted Pitta,,Pittidae,,,,,
,,,,,Pitta maxima,Ivory-breasted Pitta,,Pittidae,
,,,,,Pitta morotaiensis,Morotai Pitta,,Pittidae,
,Pitta kochi,Whiskered Pitta,,Pittidae,Erythropitta kochi,Whiskered Pitta,,Pittidae,
,Pitta erythrogaster,Red-bellied Pitta,,Pittidae,,,,,
,,,,,Erythropitta erythrogaster,Philippine Pitta,,Pittidae,
,,,,,Erythropitta inspeculata,Talaud Pitta,,Pittidae,
,,,,,Erythropitta celebensis,Sulawesi Pitta,,Pittidae,
,,,,,Erythropitta caeruleitorques,Sangihe Pitta,,Pittidae,
,,,,,Erythropitta palliceps,Siau Pitta,,Pittidae,
,Pitta dohertyi,Sula Pitta,,Pittidae,Erythropitta dohertyi,Sula Pitta,,Pittidae,
,,,,,Erythropitta rufiventris,North Moluccan Pitta,,Pittidae,
,,,,,Erythropitta rubrinucha,South Moluccan Pitta,,Pittidae,
,,,,,Erythropitta macklotii,Papuan Pitta,,Pittidae,
,,,,,Erythropitta novaehibernicae,New Ireland Pitta,,Pittidae,
,,,,,Erythropitta splendida,Tabar Pitta,,Pittidae,
,,,,,Erythropitta gazellae,New Britain Pitta,,Pittidae,
,,,,,Erythropitta meeki,Louisiade Pitta,,Pittidae,
,Pitta arcuata,Blue-banded Pitta,,Pittidae,Erythropitta arquata,Blue-banded Pitta,,Pittidae,
,Pitta granatina,Garnet Pitta,,Pittidae,Erythropitta granatina,Garnet Pitta,,Pittidae,
,Pitta ussheri,Black-headed Pitta,,Pittidae,Erythropitta ussheri,Black-crowned Pitta,,Pittidae,
,Pitta venusta,Graceful Pitta,,Pittidae,Erythropitta venusta,Graceful Pitta,,Pittidae,
,Smithornis capensis,African Broadbill,,Eurylaimidae,Smithornis capensis,African Broadbill,,Calyptomenidae,
,Smithornis sharpei,Grey-headed Broadbill,,Eurylaimidae,Smithornis sharpei,Grey-headed Broadbill,,Calyptomenidae,
,Smithornis rufolateralis,Rufous-sided Broadbill,,Eurylaimidae,Smithornis rufolateralis,Rufous-sided Broadbill,,Calyptomenidae,
,Pseudocalyptomena graueri,African Green Broadbill,,Eurylaimidae,Pseudocalyptomena graueri,Grauer's Broadbill,,Eurylaimidae,
,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,,Eurylaimidae,,,,,
,,,,,Cymbirhynchus macrorhynchos,Black-and-red Broadbill,,Eurylaimidae,
,,,,,Cymbirhynchus affinis,Irrawaddy Broadbill,,Eurylaimidae,
,Eurylaimus javanicus,Banded Broadbill,,Eurylaimidae,,,,,
,,,,,Eurylaimus javanicus,Javan Broadbill,,Eurylaimidae,
,,,,,Eurylaimus harterti,Banded Broadbill,,Eurylaimidae,
,Eurylaimus steerii,Mindanao Broadbill,,Eurylaimidae,Sarcophanops steerii,Mindanao Wattled Broadbill,,Eurylaimidae,
,Eurylaimus samarensis,Visayan Broadbill,,Eurylaimidae,Sarcophanops samarensis,Visayan Wattled Broadbill,,Eurylaimidae,
,Serilophus lunatus,Silver-breasted Broadbill,,Eurylaimidae,,,,,
,,,,,Serilophus lunatus,Silver-breasted Broadbill,,Eurylaimidae,
,,,,,Serilophus rubropygius,Grey-browed Broadbill,,Eurylaimidae,
,Calyptomena viridis,Asian Green Broadbill,,Eurylaimidae,Calyptomena viridis,Green Broadbill,,Calyptomenidae,
,Calyptomena hosii,Hose's Broadbill,,Eurylaimidae,Calyptomena hosii,Hose's Broadbill,,Calyptomenidae,
,Calyptomena whiteheadi,Whitehead's Broadbill,,Eurylaimidae,Calyptomena whiteheadi,Whitehead's Broadbill,,Calyptomenidae,
,Neodrepanis coruscans,Sunbird Asity,,Philepittidae,Neodrepanis coruscans,Common Sunbird-Asity,,Philepittidae,
,Neodrepanis hypoxantha,Yellow-bellied Asity,,Philepittidae,Neodrepanis hypoxantha,Yellow-bellied Sunbird-asity,,Philepittidae,
,,,,,Phyllomyias zeledoni,White-fronted Tyrannulet,,Tyrannidae,
,Phyllomyias burmeisteri,Rough-legged Tyrannulet,,Tyrannidae,,,,,
,,,,,Phyllomyias burmeisteri,Rough-legged Tyrannulet,,Tyrannidae,
,Zimmerius vilissimus,Paltry Tyrannulet,,Tyrannidae,,,,,
,,,,,Zimmerius vilissimus,Paltry Tyrannulet,,Tyrannidae,
,,,,,Zimmerius parvus,Mistletoe Tyrannulet,,Tyrannidae,
,Zimmerius improbus,Venezuelan Tyrannulet,,Tyrannidae,,,,,
,,,,,Zimmerius improbus,Mountain Tyrannulet,,Tyrannidae,
,,,,,Zimmerius petersi,Venezuelan Tyrannulet,,Tyrannidae,
,Zimmerius chrysops,Golden-faced Tyrannulet,,Tyrannidae,,,,,
,,,,,Zimmerius chrysops,Golden-faced Tyrannulet,,Tyrannidae,
,,,,,Zimmerius viridiflavus,Peruvian Tyrannulet,,Tyrannidae,
,Zimmerius viridiflavus,Tschudi's Tyrannulet,,Tyrannidae,,,,,
,,,,,Zimmerius chicomendesi,Chico's Tyrannulet,,Tyrannidae,
,Camptostoma imberbe,Northern Beardless-tyrannulet,,Tyrannidae,Camptostoma imberbe,Northern Beardless Tyrannulet,,Tyrannidae,
,Camptostoma obsoletum,Southern Beardless-tyrannulet,,Tyrannidae,Camptostoma obsoletum,Southern Beardless Tyrannulet,,Tyrannidae,
,Phaeomyias murina,Mouse-coloured Tyrannulet,,Tyrannidae,,,,,
,,,,,Phaeomyias murina,Mouse-colored Tyrannulet,,Tyrannidae,
,,,,,Phaeomyias tumbezana,Tumbes Tyrannulet,,Tyrannidae,
,Sublegatus obscurior,Todd's Scrub-flycatcher,,Tyrannidae,Sublegatus obscurior,Amazonian Scrub-flycatcher,,Tyrannidae,
,Suiriri islerorum,Chapada Flycatcher,,Tyrannidae,Guyramemua affinis,Chapada Flycatcher,,Tyrannidae,
,Myiopagis caniceps,Grey Elaenia,,Tyrannidae,,,,,
,,,,,Myiopagis caniceps,Atlantic Grey Elaenia,,Tyrannidae,
,,,,,Myiopagis cinerea,Amazonian Grey Elaenia,,Tyrannidae,
,,,,,Myiopagis parambae,Choco Grey Elaenia,,Tyrannidae,
,Myiopagis cotta,Jamaican Elaenia,,Tyrannidae,Myiopagis cotta,Small Jamaican Elaenia,,Tyrannidae,
,Elaenia chiriquensis,Lesser Elaenia,,Tyrannidae,,,,,
,,,,,Elaenia chiriquensis,Lesser Elaenia,,Tyrannidae,
,,,,,Elaenia brachyptera,Coopmans's Elaenia,,Tyrannidae,
,Elaenia obscura,Highland Elaenia,,Tyrannidae,,,,,
,,,,,Elaenia obscura,Highland Elaenia,,Tyrannidae,
,,,,,Elaenia sordida,Brazilian Elaenia,,Tyrannidae,
,Elaenia pallatangae,Sierran Elaenia,,Tyrannidae,,,,,
,,,,,Elaenia pallatangae,Sierran Elaenia,,Tyrannidae,
,,,,,Elaenia olivina,Tepui Elaenia,,Tyrannidae,
,Elaenia fallax,Greater Antillean Elaenia,,Tyrannidae,,,,,
,,,,,Elaenia fallax,Large Jamaican Elaenia,,Tyrannidae,
,,,,,Elaenia cherriei,Hispaniolan Elaenia,,Tyrannidae,
,,,,,Serpophaga subcristata,White-crested Tyrannulet,,Tyrannidae,
,Serpophaga subcristata,White-crested Tyrannulet,,Tyrannidae,,,,,
,,,,,Serpophaga griseicapilla,Straneck's Tyrannulet,,Tyrannidae,
,Serpophaga munda,White-bellied Tyrannulet,,Tyrannidae,,,,,
,Stigmatura napensis,Lesser Wagtail-tyrant,,Tyrannidae,,,,,
,,,,,Stigmatura napensis,Lesser Wagtail-tyrant,,Tyrannidae,
,,,,,Stigmatura bahiae,Bahia Wagtail-tyrant,,Tyrannidae,
,Anairetes agilis,Agile Tit-tyrant,,Tyrannidae,Uromyias agilis,Agile Tit-tyrant,,Tyrannidae,
,Anairetes agraphia,Unstreaked Tit-tyrant,,Tyrannidae,Uromyias agraphia,Unstreaked Tit-tyrant,,Tyrannidae,
