Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
,,,,Ramphiculus subgularis,Banggai Fruit-dove,,Columbidae,
,,,,Ramphiculus epius,Maroon-chinned Fruit-dove,,Columbidae,
,,,,Ramphiculus mangoliensis,Sula Fruit-dove,,Columbidae,
Ptilinopus bernsteinii,Scarlet-breasted Fruit Dove,,Columbidae,Megaloprepia formosa,Scarlet-breasted Fruit-dove,,Columbidae,
Ptilinopus magnificus,Wompoo Fruit Dove,,Columbidae,Megaloprepia magnifica,Wompoo Fruit-dove,,Columbidae,
Ptilinopus perlatus,Pink-spotted Fruit Dove,,Columbidae,Ptilinopus perlatus,Pink-spotted Fruit-dove,,Columbidae,
Ptilinopus ornatus,Ornate Fruit Dove,,Columbidae,,,,,
,,,,Ptilinopus ornatus,Western Ornate Fruit-dove,,Columbidae,
,,,,Ptilinopus gestroi,Eastern Ornate Fruit-dove,,Columbidae,
Ptilinopus tannensis,Tanna Fruit Dove,,Columbidae,Ptilinopus tannensis,Tanna Fruit-dove,,Columbidae,
Ptilinopus aurantiifrons,Orange-fronted Fruit Dove,,Columbidae,Ptilinopus aurantiifrons,Orange-fronted Fruit-dove,,Columbidae,
Ptilinopus wallacii,Wallace's Fruit Dove,,Columbidae,Ptilinopus wallacii,Wallace's Fruit-dove,,Columbidae,
Ptilinopus superbus,Superb Fruit Dove,,Columbidae,,,,,
,,,,Ptilinopus superbus,Eastern Superb Fruit-dove,,Columbidae,
,,,,Ptilinopus temminckii,Western Superb Fruit-dove,,Columbidae,
Ptilinopus perousii,Many-colored Fruit Dove,,Columbidae,Ptilinopus perousii,Many-coloured Fruit-dove,,Columbidae,
Ptilinopus monacha,Blue-capped Fruit Dove,,Columbidae,Ptilinopus monacha,Blue-capped Fruit-dove,,Columbidae,
Ptilinopus coronulatus,Coroneted Fruit Dove,,Columbidae,Ptilinopus coronulatus,Coroneted Fruit-dove,,Columbidae,
Ptilinopus pulchellus,Beautiful Fruit Dove,,Columbidae,Ptilinopus pulchellus,Beautiful Fruit-dove,,Columbidae,
Ptilinopus regina,Rose-crowned Fruit Dove,,Columbidae,Ptilinopus regina,Rose-crowned Fruit-dove,,Columbidae,
Ptilinopus roseicapilla,Mariana Fruit Dove,,Columbidae,Ptilinopus roseicapilla,Mariana Fruit-dove,,Columbidae,
Ptilinopus greyi,Red-bellied Fruit Dove,,Columbidae,Ptilinopus greyi,Red-bellied Fruit-dove,,Columbidae,
Ptilinopus richardsii,Silver-capped Fruit Dove,,Columbidae,Ptilinopus richardsii,Silver-capped Fruit-dove,,Columbidae,
Ptilinopus porphyraceus,Crimson-crowned Fruit Dove,,Columbidae,,,,,
,,,,Ptilinopus porphyraceus,Tongan Fruit-dove,,Columbidae,
,,,,Ptilinopus fasciatus,Samoan Fruit-dove,,Columbidae,
,,,,Ptilinopus ponapensis,Pohnpei Fruit-dove,,Columbidae,
,,,,Ptilinopus hernsheimi,Kosrae Fruit-dove,,Columbidae,
Ptilinopus pelewensis,Palau Fruit Dove,,Columbidae,Ptilinopus pelewensis,Palau Fruit-dove,,Columbidae,
Ptilinopus rarotongensis,Lilac-crowned Fruit Dove,,Columbidae,Ptilinopus rarotongensis,Rarotonga Fruit-dove,,Columbidae,
Ptilinopus huttoni,Rapa Fruit Dove,,Columbidae,Ptilinopus huttoni,Rapa Fruit-dove,,Columbidae,
Ptilinopus purpuratus,Grey-green Fruit Dove,,Columbidae,,,,,
,,,,Ptilinopus purpuratus,Grey-green Fruit-dove,,Columbidae,
,,,,Ptilinopus chrysogaster,Raiatea Fruit-dove,,Columbidae,
Ptilinopus coralensis,Atoll Fruit Dove,,Columbidae,Ptilinopus coralensis,Atoll Fruit-dove,,Columbidae,
Ptilinopus chalcurus,Makatea Fruit Dove,,Columbidae,Ptilinopus chalcurus,Makatea Fruit-dove,,Columbidae,
Ptilinopus insularis,Scarlet-capped Fruit Dove,,Columbidae,Ptilinopus insularis,Henderson Fruit-dove,,Columbidae,
Ptilinopus mercierii,Moustached Fruit Dove,,Columbidae,Ptilinopus mercierii,Red-moustached Fruit-dove,,Columbidae,
Ptilinopus dupetithouarsii,White-capped Fruit Dove,,Columbidae,Ptilinopus dupetithouarsii,White-capped Fruit-dove,,Columbidae,
Ptilinopus rivoli,White-bibbed Fruit Dove,,Columbidae,Ptilinopus rivoli,White-bibbed Fruit-dove,,Columbidae,
Ptilinopus solomonensis,Yellow-bibbed Fruit Dove,,Columbidae,,,,,
,,,,Ptilinopus solomonensis,Yellow-banded Fruit-dove,,Columbidae,
,,,,Ptilinopus speciosus,Geelvink Fruit-dove,,Columbidae,
Ptilinopus viridis,Claret-breasted Fruit Dove,,Columbidae,Ptilinopus viridis,Claret-breasted Fruit-dove,,Columbidae,
Ptilinopus eugeniae,White-headed Fruit Dove,,Columbidae,Ptilinopus eugeniae,White-headed Fruit-dove,,Columbidae,
Ptilinopus hyogastrus,Grey-headed Fruit Dove,,Columbidae,Ptilinopus hyogastrus,Grey-headed Fruit-dove,,Columbidae,
Ptilinopus granulifrons,Carunculated Fruit Dove,,Columbidae,Ptilinopus granulifrons,Carunculated Fruit-dove,,Columbidae,
Ptilinopus iozonus,Orange-bellied Fruit Dove,,Columbidae,Ptilinopus iozonus,Orange-bellied Fruit-dove,,Columbidae,
Ptilinopus insolitus,Knob-billed Fruit Dove,,Columbidae,Ptilinopus insolitus,Knob-billed Fruit-dove,,Columbidae,
Ptilinopus nanus,Dwarf Fruit Dove,,Columbidae,Ptilinopus nainus,Dwarf Fruit-dove,,Columbidae,
Ptilinopus melanospilus,Black-naped Fruit Dove,,Columbidae,Ptilinopus melanospilus,Black-naped Fruit-dove,,Columbidae,
Ptilinopus arcanus,Negros Fruit Dove,,Columbidae,Ptilinopus arcanus,Negros Fruit-dove,,Columbidae,
Ptilinopus victor,Orange Fruit Dove,,Columbidae,Chrysoena victor,Orange Dove,,Columbidae,
Ptilinopus luteovirens,Golden Fruit Dove,,Columbidae,Chrysoena luteovirens,Golden Dove,,Columbidae,
Ptilinopus layardi,Whistling Fruit Dove,,Columbidae,Chrysoena viridis,Whistling Dove,,Columbidae,
Alectroenas madagascariensis,Madagascar Blue Pigeon,,Columbidae,Alectroenas madagascariensis,Madagascar Blue-pigeon,,Columbidae,
Alectroenas sganzini,Comoros Blue Pigeon,,Columbidae,Alectroenas sganzini,Comoro Blue-pigeon,,Columbidae,
,,,,Alectroenas nitidissimus,Mauritius Blue-pigeon,,Columbidae,
,,,,Alectroenas payandeei,Rodrigues Blue-pigeon,,Columbidae,
Alectroenas pulcherrimus,Seychelles Blue Pigeon,,Columbidae,Alectroenas pulcherrimus,Seychelles Blue-pigeon,,Columbidae,
Ducula poliocephala,Pink-bellied Imperial Pigeon,,Columbidae,Ducula poliocephala,Pink-bellied Imperial-pigeon,,Columbidae,
Ducula forsteni,White-bellied Imperial Pigeon,,Columbidae,Ducula forsteni,White-bellied Imperial-pigeon,,Columbidae,
Ducula mindorensis,Mindoro Imperial Pigeon,,Columbidae,Ducula mindorensis,Mindoro Imperial-pigeon,,Columbidae,
Ducula radiata,Grey-headed Imperial Pigeon,,Columbidae,Ducula radiata,Grey-headed Imperial-pigeon,,Columbidae,
Ducula carola,Spotted Imperial Pigeon,,Columbidae,Ducula carola,Spotted Imperial-pigeon,,Columbidae,
Ducula aenea,Green Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula oenothorax,Enggano Imperial-pigeon,,Columbidae,
Ducula nicobarica,Nicobar Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula aenea,Green Imperial-pigeon,,Columbidae,
Ducula perspicillata,Spectacled Imperial Pigeon,,Columbidae,Ducula perspicillata,Spectacled Imperial-pigeon,,Columbidae,
Ducula neglecta,Seram Imperial Pigeon,,Columbidae,Ducula neglecta,Seram Imperial-pigeon,,Columbidae,
Ducula concinna,Elegant Imperial Pigeon,,Columbidae,Ducula concinna,Blue-tailed Imperial-pigeon,,Columbidae,
Ducula pacifica,Pacific Imperial Pigeon,,Columbidae,Ducula pacifica,Pacific Imperial-pigeon,,Columbidae,
Ducula oceanica,Micronesian Imperial Pigeon,,Columbidae,Ducula oceanica,Micronesian Imperial-pigeon,,Columbidae,
Ducula aurorae,Polynesian Imperial Pigeon,,Columbidae,Ducula aurorae,Polynesian Imperial-pigeon,,Columbidae,
Ducula galeata,Marquesan Imperial Pigeon,,Columbidae,Ducula galeata,Nukuhiva Imperial-pigeon,,Columbidae,
Ducula rubricera,Red-knobbed Imperial Pigeon,,Columbidae,Ducula rubricera,Red-knobbed Imperial-pigeon,,Columbidae,
Ducula myristicivora,Spice Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula myristicivora,Spice Imperial-pigeon,,Columbidae,
,,,,Ducula geelvinkiana,Geelvink Imperial-pigeon,,Columbidae,
Ducula pistrinaria,Island Imperial Pigeon,,Columbidae,Ducula pistrinaria,Island Imperial-pigeon,,Columbidae,
Ducula whartoni,Christmas Imperial Pigeon,,Columbidae,Ducula whartoni,Christmas Imperial-pigeon,,Columbidae,
Ducula rosacea,Pink-headed Imperial Pigeon,,Columbidae,Ducula rosacea,Pink-headed Imperial-pigeon,,Columbidae,
Ducula pickeringii,Grey Imperial Pigeon,,Columbidae,Ducula pickeringii,Grey Imperial-pigeon,,Columbidae,
Ducula basilica,Cinnamon-bellied Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula basilica,Cinnamon-bellied Imperial-pigeon,,Columbidae,
,,,,Ducula obiensis,Rusty Imperial-pigeon,,Columbidae,
Ducula rufigaster,Purple-tailed Imperial Pigeon,,Columbidae,Ducula rufigaster,Purple-tailed Imperial-pigeon,,Columbidae,
Ducula finschii,Finsch's Imperial Pigeon,,Columbidae,Ducula finschii,Finsch's Imperial-pigeon,,Columbidae,
Ducula chalconota,Rufescent Imperial Pigeon,,Columbidae,Ducula chalconota,Shining Imperial-pigeon,,Columbidae,
Ducula latrans,Barking Imperial Pigeon,,Columbidae,Ducula latrans,Barking Imperial-pigeon,,Columbidae,
Ducula brenchleyi,Chestnut-bellied Imperial Pigeon,,Columbidae,Ducula brenchleyi,Chestnut-bellied Imperial-pigeon,,Columbidae,
Ducula bakeri,Vanuatu Imperial Pigeon,,Columbidae,Ducula bakeri,Vanuatu Imperial-pigeon,,Columbidae,
Ducula goliath,Goliath Imperial Pigeon,,Columbidae,Ducula goliath,New Caledonian Imperial-pigeon,,Columbidae,
Ducula pinon,Pinon's Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula pinon,Pinon's Imperial-pigeon,,Columbidae,
,,,,Ducula salvadorii,Louisiade Imperial-pigeon,,Columbidae,
Ducula melanochroa,Black Imperial Pigeon,,Columbidae,Ducula melanochroa,Bismarck Imperial-pigeon,,Columbidae,
Ducula mullerii,Collared Imperial Pigeon,,Columbidae,Ducula mullerii,Collared Imperial-pigeon,,Columbidae,
Ducula zoeae,Zoe's Imperial Pigeon,,Columbidae,Ducula zoeae,Zoe's Imperial-pigeon,,Columbidae,
Ducula badia,Mountain Imperial Pigeon,,Columbidae,,,,,
,,,,Ducula badia,Mountain Imperial-pigeon,,Columbidae,
,,,,Ducula cuprea,Nilgiri Imperial-pigeon,,Columbidae,
Ducula lacernulata,Dark-backed Imperial Pigeon,,Columbidae,Ducula lacernulata,Dark-backed Imperial-pigeon,,Columbidae,
Ducula cineracea,Timor Imperial Pigeon,,Columbidae,Ducula cineracea,Timor Imperial-pigeon,,Columbidae,
Ducula bicolor,Pied Imperial Pigeon,,Columbidae,Ducula bicolor,Pied Imperial-pigeon,,Columbidae,
Ducula spilorrhoa,Torresian Imperial Pigeon,,Columbidae,Ducula spilorrhoa,Torresian Imperial-pigeon,,Columbidae,
Ducula subflavescens,Yellowish Imperial Pigeon,,Columbidae,Ducula subflavescens,Yellowish Imperial-pigeon,,Columbidae,
Ducula luctuosa,Silver-tipped Imperial Pigeon,,Columbidae,Ducula luctuosa,White Imperial-pigeon,,Columbidae,
Gymnophaps albertisii,Papuan Mountain Pigeon,,Columbidae,Gymnophaps albertisii,Papuan Mountain-pigeon,,Columbidae,
Gymnophaps mada,Buru Mountain Pigeon,,Columbidae,Gymnophaps mada,Buru Mountain-pigeon,,Columbidae,
Gymnophaps stalkeri,Seram Mountain Pigeon,,Columbidae,Gymnophaps stalkeri,Seram Mountain-pigeon,,Columbidae,
Gymnophaps solomonensis,Pale Mountain Pigeon,,Columbidae,Gymnophaps solomonensis,Pale Mountain-pigeon,,Columbidae,
Goura cristata,Western Crowned Pigeon,,Columbidae,Goura cristata,Western Crowned-pigeon,,Columbidae,
Goura victoria,Victoria Crowned Pigeon,,Columbidae,Goura victoria,Victoria Crowned-pigeon,,Columbidae,
Goura scheepmakeri,Southern Crowned Pigeon,,Columbidae,,,,,
,,,,Goura scheepmakeri,Scheepmaker's Crowned-pigeon,,Columbidae,
,,,,Goura sclaterii,Sclater's Crowned-pigeon,,Columbidae,
Chalcopsitta sintillata,Yellowish-streaked Lory,,Psittacidae,Chalcopsitta scintillata,Yellow-streaked Lory,,Psittacidae,
Trichoglossus forsteni,Sunset Lorikeet,,Psittacidae,Trichoglossus forsteni,Scarlet-breasted Lorikeet,,Psittacidae,
Trichoglossus weberi,Leaf Lorikeet,,Psittacidae,Trichoglossus weberi,Flores Lorikeet,,Psittacidae,
Trichoglossus flavoviridis,Citrine Lorikeet,,Psittacidae,,,,,
,,,,Trichoglossus flavoviridis,Yellow-and-green Lorikeet,,Psittacidae,
,,,,Trichoglossus meyeri,Mustard-capped Lorikeet,,Psittacidae,
Vini kuhlii,Kuhl's Lorikeet,,Psittacidae,Vini kuhlii,Rimatara Lorikeet,,Psittacidae,
Vini stepheni,Stephen's Lorikeet,,Psittacidae,Vini stepheni,Henderson Lorikeet,,Psittacidae,
,,,,Charmosyna diadema,New Caledonian Lorikeet,,Psittacidae,
Charmosyna aureicincta,Red-throated Lorikeet,,Psittacidae,Charmosyna amabilis,Red-throated Lorikeet,,Psittacidae,
Charmosyna papou,Papuan Lorikeet,,Psittacidae,,,,,
,,,,Charmosyna papou,Papuan Lorikeet,,Psittacidae,
,,,,Charmosyna stellae,Stella's Lorikeet,,Psittacidae,
Calyptorhynchus baudinii,Long-billed Black Cockatoo,,Cacatuidae,Zanda baudinii,Long-billed Black-cockatoo,,Cacatuidae,
Calyptorhynchus latirostris,Short-billed Black Cockatoo,,Cacatuidae,Zanda latirostris,Short-billed Black-cockatoo,,Cacatuidae,
Calyptorhynchus funereus,Yellow-tailed Black Cockatoo,,Cacatuidae,Zanda funerea,Yellow-tailed Black-cockatoo,,Cacatuidae,
Calyptorhynchus banksii,Red-tailed Black Cockatoo,,Cacatuidae,Calyptorhynchus banksii,Red-tailed Black-cockatoo,,Cacatuidae,
Calyptorhynchus lathami,Glossy Black Cockatoo,,Cacatuidae,Calyptorhynchus lathami,Glossy Black-cockatoo,,Cacatuidae,
Lophochroa leadbeateri,Major Mitchell's Cockatoo,,Cacatuidae,Cacatua leadbeateri,Major Mitchell's Cockatoo,,Cacatuidae,
Cacatua haematuropygia,Red-vented Cockatoo,,Cacatuidae,Cacatua haematuropygia,Philippine Cockatoo,,Cacatuidae,
Cacatua ducorpsii,Solomons Cockatoo,,Cacatuidae,Cacatua ducorpsii,Solomons Corella,,Cacatuidae,
,,,,Nestor productus,Norfolk Kaka,,Strigopidae,
Micropsitta keiensis,Yellow-capped Pygmy Parrot,,Psittacidae,Micropsitta keiensis,Yellow-capped Pygmy-parrot,,Psittacidae,
Micropsitta geelvinkiana,Geelvink Pygmy Parrot,,Psittacidae,Micropsitta geelvinkiana,Geelvink Pygmy-parrot,,Psittacidae,
Micropsitta pusio,Buff-faced Pygmy Parrot,,Psittacidae,Micropsitta pusio,Buff-faced Pygmy-parrot,,Psittacidae,
Micropsitta meeki,Meek's Pygmy Parrot,,Psittacidae,Micropsitta meeki,Yellow-breasted Pygmy-parrot,,Psittacidae,
Micropsitta finschii,Finsch's Pygmy Parrot,,Psittacidae,Micropsitta finschii,Green Pygmy-parrot,,Psittacidae,
Micropsitta bruijnii,Red-breasted Pygmy Parrot,,Psittacidae,Micropsitta bruijnii,Red-breasted Pygmy-parrot,,Psittacidae,
Cyclopsitta gulielmitertii,Orange-breasted Fig Parrot,,Psittacidae,,,,,
,,,,Cyclopsitta gulielmitertii,Blue-fronted Fig-parrot,,Psittacidae,
,,,,Cyclopsitta melanogenia,Dusky-cheeked Fig-parrot,,Psittacidae,
,,,,Cyclopsitta nigrifrons,Black-fronted Fig-parrot,,Psittacidae,
,,,,Cyclopsitta amabilis,Creamy-breasted Fig-parrot,,Psittacidae,
Cyclopsitta diophthalma,Double-eyed Fig Parrot,,Psittacidae,,,,,
,,,,Cyclopsitta diophthalma,Double-eyed Fig-parrot,,Psittacidae,
,,,,Cyclopsitta coxeni,Coxen's Fig-parrot,,Psittacidae,
Psittaculirostris desmarestii,Large Fig Parrot,,Psittacidae,,,,,
,,,,Psittaculirostris desmarestii,Large Fig-parrot,,Psittacidae,
,,,,Psittaculirostris godmani,Yellow-naped Fig-parrot,,Psittacidae,
,,,,Psittaculirostris cervicalis,Red-faced Fig-parrot,,Psittacidae,
Psittaculirostris edwardsii,Edwards's Fig Parrot,,Psittacidae,Psittaculirostris edwardsii,Edwards's Fig-parrot,,Psittacidae,
Psittaculirostris salvadorii,Salvadori's Fig Parrot,,Psittacidae,Psittaculirostris salvadorii,Salvadori's Fig-parrot,,Psittacidae,
Psittinus cyanurus,Blue-rumped Parrot,,Psittacidae,,,,,
,,,,Psittinus cyanurus,Blue-rumped Parrot,,Psittacidae,
,,,,Psittinus abbotti,Simeulue Parrot,,Psittacidae,
Psittacella brehmii,Brehm's Tiger Parrot,,Psittacidae,Psittacella brehmii,Brehm's Tiger-parrot,,Psittacidae,
Psittacella picta,Painted Tiger Parrot,,Psittacidae,,,,,
,,,,Psittacella picta,Painted Tiger-parrot,,Psittacidae,
,,,,Psittacella lorentzi,Snow Mountain Tiger-parrot,,Psittacidae,
Psittacella modesta,Modest Tiger Parrot,,Psittacidae,Psittacella modesta,Modest Tiger-parrot,,Psittacidae,
Psittacella madaraszi,Madarasz's Tiger Parrot,,Psittacidae,Psittacella madaraszi,Madarasz's Tiger-parrot,,Psittacidae,
Geoffroyus heteroclitus,Song Parrot,,Psittacidae,,,,,
,,,,Geoffroyus heteroclitus,Song Parrot,,Psittacidae,
,,,,Geoffroyus hyacinthinus,Rennell Parrot,,Psittacidae,
Prioniturus montanus,Montane Racket-tail,,Psittacidae,Prioniturus montanus,Montane Racquet-tail,,Psittacidae,
Prioniturus waterstradti,Mindanao Racket-tail,,Psittacidae,Prioniturus waterstradti,Mindanao Racquet-tail,,Psittacidae,
Prioniturus platenae,Blue-headed Racket-tail,,Psittacidae,Prioniturus platenae,Blue-headed Racquet-tail,,Psittacidae,
Prioniturus luconensis,Green Racket-tail,,Psittacidae,Prioniturus luconensis,Green Racquet-tail,,Psittacidae,
Prioniturus discurus,Blue-crowned Racket-tail,,Psittacidae,,,,,
,,,,Prioniturus discurus,Blue-crowned Racquet-tail,,Psittacidae,
,,,,Prioniturus mindorensis,Mindoro Racquet-tail,,Psittacidae,
Prioniturus verticalis,Blue-winged Racket-tail,,Psittacidae,Prioniturus verticalis,Sulu Racquet-tail,,Psittacidae,
Prioniturus flavicans,Yellow-breasted Racket-tail,,Psittacidae,Prioniturus flavicans,Yellowish-breasted Racquet-tail,,Psittacidae,
Prioniturus platurus,Golden-mantled Racket-tail,,Psittacidae,Prioniturus platurus,Golden-mantled Racquet-tail,,Psittacidae,
Prioniturus mada,Buru Racket-tail,,Psittacidae,Prioniturus mada,Buru Racquet-tail,,Psittacidae,
Eclectus roratus,Eclectus Parrot,,Psittacidae,,,,,
,,,,Eclectus roratus,Moluccan Eclectus,,Psittacidae,
,,,,Eclectus cornelia,Sumba Eclectus,,Psittacidae,
,,,,Eclectus riedeli,Tanimbar Eclectus,,Psittacidae,
,,,,Eclectus polychloros,Papuan Eclectus,,Psittacidae,
,,,,Eclectus infectus,Oceanic Parrot,,Psittacidae,
Prosopeia splendens,Crimson Shining Parrot,,Psittacidae,Prosopeia splendens,Crimson Shining-parrot,,Psittacidae,
Prosopeia personata,Masked Shining Parrot,,Psittacidae,Prosopeia personata,Masked Shining-parrot,,Psittacidae,
Prosopeia tabuensis,Maroon Shining Parrot,,Psittacidae,Prosopeia tabuensis,Maroon Shining-parrot,,Psittacidae,
Alisterus scapularis,Australian King Parrot,,Psittacidae,Alisterus scapularis,Australian King-parrot,,Psittacidae,
Alisterus amboinensis,Moluccan King Parrot,,Psittacidae,Alisterus amboinensis,Moluccan King-parrot,,Psittacidae,
Alisterus chloropterus,Papuan King Parrot,,Psittacidae,Alisterus chloropterus,Papuan King-parrot,,Psittacidae,
Psephotus varius,Mulga Parrot,,Psittacidae,Psephotellus varius,Mulga Parrot,,Psittacidae,
Psephotus dissimilis,Hooded Parrot,,Psittacidae,Psephotellus dissimilis,Hooded Parrot,,Psittacidae,
Psephotus chrysopterygius,Golden-shouldered Parrot,,Psittacidae,Psephotellus chrysopterygius,Golden-shouldered Parrot,,Psittacidae,
,,,,Psephotellus pulcherrimus,Paradise Parrot,,Psittacidae,
Cyanoramphus cookii,Norfolk Parakeet,,Psittacidae,,,,,
,,,,Cyanoramphus novaezelandiae,Red-fronted Parakeet,,Psittacidae,
Cyanoramphus novaezelandiae,Red-crowned Parakeet,,Psittacidae,,,,,
Cyanoramphus hochstetteri,Reischek's Parakeet,,Psittacidae,,,,,
Cyanoramphus saisseti,New Caledonian Parakeet,,Psittacidae,,,,,
Cyanoramphus auriceps,Yellow-crowned Parakeet,,Psittacidae,Cyanoramphus auriceps,Yellow-fronted Parakeet,,Psittacidae,
,,,,Cyanoramphus zealandicus,Black-fronted Parakeet,,Psittacidae,
,,,,Cyanoramphus ulietanus,Raiatea Parakeet,,Psittacidae,
,,,,Pezoporus wallicus,Ground Parrot,,Psittacidae,
Pezoporus wallicus,Eastern Ground Parrot,,Psittacidae,,,,,
Pezoporus flaviventris,Western Ground Parrot,,Psittacidae,,,,,
,,,,Mascarinus mascarin,Mascarene Parrot,,Psittacidae,
,,,,Lophopsittacus mauritianus,Broad-billed Parrot,,Psittacidae,
,,,,Lophopsittacus bensoni,Mauritius Grey Parrot,,Psittacidae,
,,,,Necropsittacus rodricanus,Rodrigues Parrot,,Psittacidae,
Coracopsis vasa,Greater Vasa Parrot,,Psittacidae,Coracopsis vasa,Vasa Parrot,,Psittacidae,
Coracopsis nigra,Lesser Vasa Parrot,,Psittacidae,,,,,
,,,,Coracopsis nigra,Black Parrot,,Psittacidae,
,,,,Coracopsis sibilans,Comoro Parrot,,Psittacidae,
,,,,Coracopsis barklyi,Seychelles Parrot,,Psittacidae,
Psittacus erithacus,Grey Parrot,,Psittacidae,,,,,
,,,,Psittacus erithacus,Grey Parrot,,Psittacidae,
,,,,Psittacus timneh,Timneh Parrot,,Psittacidae,
Poicephalus robustus,Cape Parrot,,Psittacidae,,,,,
,,,,Poicephalus robustus,Cape Parrot,,Psittacidae,
,,,,Poicephalus fuscicollis,Brown-necked Parrot,,Psittacidae,
Poicephalus fuscicollis,Brown-necked Parrot,,Psittacidae,,,,,
Poicephalus meyeri,Meyer's Parrot,,Psittacidae,Poicephalus meyeri,Brown Parrot,,Psittacidae,
Agapornis lilianae,Lilian's Lovebird,,Psittacidae,Agapornis lilianae,Nyasa Lovebird,,Psittacidae,
Loriculus vernalis,Vernal Hanging Parrot,,Psittacidae,Loriculus vernalis,Vernal Hanging-parrot,,Psittacidae,
Loriculus beryllinus,Sri Lanka Hanging Parrot,,Psittacidae,Loriculus beryllinus,Sri Lanka Hanging-parrot,,Psittacidae,
,,,,Loriculus philippensis,Philippine Hanging-parrot,,Psittacidae,
Loriculus philippensis,Philippine Hanging Parrot,,Psittacidae,,,,,
Loriculus camiguinensis,Camiguin Hanging Parrot,,Psittacidae,,,,,
Loriculus galgulus,Blue-crowned Hanging Parrot,,Psittacidae,Loriculus galgulus,Blue-crowned Hanging-parrot,,Psittacidae,
Loriculus stigmatus,Great Hanging Parrot,,Psittacidae,Loriculus stigmatus,Sulawesi Hanging-parrot,,Psittacidae,
Loriculus amabilis,Moluccan Hanging Parrot,,Psittacidae,Loriculus amabilis,Moluccan Hanging-parrot,,Psittacidae,
Loriculus sclateri,Sula Hanging Parrot,,Psittacidae,Loriculus sclateri,Sula Hanging-parrot,,Psittacidae,
Loriculus catamene,Sangihe Hanging Parrot,,Psittacidae,Loriculus catamene,Sangihe Hanging-parrot,,Psittacidae,
Loriculus aurantiifrons,Orange-fronted Hanging Parrot,,Psittacidae,Loriculus aurantiifrons,Orange-fronted Hanging-parrot,,Psittacidae,
Loriculus tener,Bismarck Hanging Parrot,,Psittacidae,Loriculus tener,Bismarck Hanging-parrot,,Psittacidae,
Loriculus exilis,Pygmy Hanging Parrot,,Psittacidae,Loriculus exilis,Pygmy Hanging-parrot,,Psittacidae,
Loriculus pusillus,Yellow-throated Hanging Parrot,,Psittacidae,Loriculus pusillus,Yellow-throated Hanging-parrot,,Psittacidae,
Loriculus flosculus,Wallace's Hanging Parrot,,Psittacidae,Loriculus flosculus,Flores Hanging-parrot,,Psittacidae,
,,,,Psittacula wardi,Seychelles Parakeet,,Psittacidae,
,,,,Psittacula eques,Echo Parakeet,,Psittacidae,
Psittacula echo,Mauritius Parakeet,,Psittacidae,,,,,
,,,,Psittacula exsul,Rodrigues Parakeet,,Psittacidae,
Psittacula columboides,Blue-winged Parakeet,,Psittacidae,Psittacula columboides,Malabar Parakeet,,Psittacidae,
Psittacula calthropae,Layard's Parakeet,,Psittacidae,Psittacula calthrapae,Emerald-collared Parakeet,,Psittacidae,
,,,,Anodorhynchus glaucus,Glaucous Macaw,,Psittacidae,
,,,,Ara tricolor,Cuban Macaw,,Psittacidae,
Orthopsittaca manilata,Red-bellied Macaw,,Psittacidae,Orthopsittaca manilatus,Red-bellied Macaw,,Psittacidae,
Primolius auricollis,Golden-collared Macaw,,Psittacidae,Primolius auricollis,Yellow-collared Macaw,,Psittacidae,
Diopsittaca nobilis,Red-shouldered Macaw,,Psittacidae,,,,,
,,,,Diopsittaca nobilis,Northern Red-shouldered Macaw,,Psittacidae,
,,,,Diopsittaca cumanensis,Southern Red-shouldered Macaw,,Psittacidae,
Aratinga acuticaudata,Blue-crowned Parakeet,,Psittacidae,Psittacara acuticaudatus,Blue-crowned Parakeet,,Psittacidae,
Aratinga holochlora,Green Parakeet,,Psittacidae,,,,,
,,,,Psittacara holochlorus,Green Parakeet,,Psittacidae,
Aratinga brevipes,Socorro Parakeet,,Psittacidae,,,,,
Aratinga rubritorquis,Red-throated Parakeet,,Psittacidae,Psittacara rubritorquis,Red-throated Parakeet,,Psittacidae,
Aratinga strenua,Pacific Parakeet,,Psittacidae,,,,,
Aratinga wagleri,Scarlet-fronted Parakeet,,Psittacidae,,,,,
,,,,Psittacara wagleri,Scarlet-fronted Parakeet,,Psittacidae,
,,,,Psittacara frontatus,Cordilleran Parakeet,,Psittacidae,
,,,,Psittacara mitratus,Mitred Parakeet,,Psittacidae,
Aratinga mitrata,Mitred Parakeet,,Psittacidae,,,,,
Aratinga alticola,Chapman's Parakeet,,Psittacidae,,,,,
Aratinga hockingi,Hocking's Parakeet,,Psittacidae,,,,,
Aratinga erythrogenys,Red-masked Parakeet,,Psittacidae,Psittacara erythrogenys,Red-masked Parakeet,,Psittacidae,
Aratinga finschi,Finsch's Parakeet,,Psittacidae,Psittacara finschi,Crimson-fronted Parakeet,,Psittacidae,
Aratinga leucophthalma,White-eyed Parakeet,,Psittacidae,Psittacara leucophthalmus,White-eyed Parakeet,,Psittacidae,
